event_id,event_name,start_date,end_date,industry,region,country_codes,severity,description,source,cameo_codes_expected,duration_days,year,severity_label
D001,US-China Trade War Tariff Escalation,2019-05-10,2020-01-15,"Electronics, Agriculture, Manufacturing",Global (US–China),"USA,CHN",3,US raised tariffs to 25% on $200B of Chinese goods; China retaliated. Major reshoring pressure on electronics and consumer goods supply chains.,"USTR, WTO","13,17,172,1211",250,2019,Significant
D002,Boeing 737 MAX Global Grounding,2019-03-13,2020-11-18,"Aerospace, Aviation",Global,"USA,EU,CHN",3,All 737 MAX aircraft grounded following two fatal crashes. Cascading supplier shutdowns and $20B+ in lost orders across aerospace supply chains.,"FAA, Boeing earnings","14,17",616,2019,Significant
D003,COVID-19 Wuhan Factory Shutdowns,2020-01-23,2020-03-10,"Electronics, Automotive, PPE",China (Hubei Province),CHN,5,"Wuhan and Hubei province locked down. Factories supplying auto parts, electronics components, and pharmaceutical precursors halted production.","Caixin, Reuters","14,20,145",47,2020,Catastrophic
D004,COVID-19 Global Lockdowns — Manufacturing Halt,2020-03-15,2020-06-01,"Automotive, Apparel, Consumer Goods",Global,"ITA,ESP,IND,USA,BRA",5,"Italy, Spain, India, US all halted non-essential manufacturing. Global PPE shortage. Toilet paper, hand sanitizer demand spikes caused retail supply chaos.","ILO, IMF","14,17,20,145",78,2020,Catastrophic
D005,US West Coast Port Congestion (COVID demand surge),2020-10-01,2022-01-01,"Retail, Consumer Electronics, Furniture",North America (LA/Long Beach),USA,4,Massive e-commerce surge created unprecedented port backlogs. Container ships queued for weeks off Los Angeles. Freight rates rose 10x from pre-COVID levels.,"Port of Los Angeles, Freightos","14,17",457,2020,Severe
D006,Suez Canal Blockage — Ever Given,2021-03-23,2021-03-29,"Shipping, Oil, Consumer Goods","Middle East (Suez Canal, Egypt)",EGY,4,"MV Ever Given ran aground, blocking the Suez Canal for 6 days. ~$9.6B/day in trade halted. Oil price spike. 400+ vessels diverted around Cape of Good Hope.","Lloyd's List, Suez Canal Authority","17,14",6,2021,Severe
D007,Taiwan Semiconductor Drought,2021-05-01,2022-06-01,"Semiconductors, Automotive, Consumer Electronics",Asia-Pacific (Taiwan),"TWN,JPN,KOR",4,"Severe drought reduced hydroelectric power at TSMC fabs. Combined with COVID demand surge, global chip shortage hit auto and electronics industries hard.","TSMC earnings, IEA","13,17",396,2021,Severe
D008,Yantian Port COVID Closure (Shenzhen),2021-05-21,2021-06-24,"Electronics, Consumer Goods, Retail",China (Guangdong),CHN,3,COVID outbreak at Yantian port (world's 4th busiest) caused partial closure for 5 weeks. Created massive backlogs equivalent to a Suez-level disruption for electronics exporters.,"Flexport, Reuters","17,14,20",34,2021,Significant
D009,Texas Winter Storm Uri — Energy & Petrochemical,2021-02-10,2021-02-20,"Petrochemicals, Plastics, Semiconductors","North America (Texas, US)",USA,3,"Unprecedented winter storm knocked out Texas power grid. Shut Samsung Austin fab, major plastics plants, and petrochemical hubs. Caused months-long resin and plastics shortages.","ERCOT, IHS Markit","14,20",10,2021,Significant
D010,Ningbo-Zhoushan Port Partial Closure,2021-08-11,2021-08-26,"General Shipping, Electronics, Auto Parts",China (Zhejiang),CHN,3,Single COVID case triggered closure of Meishan terminal at world's 3rd busiest port. Two-week closure added weeks of delays to trans-Pacific shipping schedules.,"Bloomberg, Flexport","17,14",15,2021,Significant
D011,Russia-Ukraine War — Energy & Commodity Sanctions,2022-02-24,2024-12-31,"Energy, Agriculture, Steel, Fertilizer","Europe (Ukraine, Russia)","RUS,UKR,EU",5,"Russia invaded Ukraine. Immediate Western sanctions on Russian oil, gas, metals, and fertilizers. Wheat and sunflower oil exports halted. European energy crisis ensued.","EU Council, USDA","13,17,20,1211,1221,172",1041,2022,Catastrophic
D012,Shanghai COVID Lockdown,2022-04-01,2022-06-01,"Electronics, Automotive, Logistics",China (Shanghai),CHN,5,"Shanghai (China's largest port city) locked down for 2 months under Zero-COVID. Tesla, SAIC, major semiconductor assembly plants halted. Shanghai port throughput fell 40%.","Caixin, Port of Shanghai","14,17,20,145",61,2022,Catastrophic
D013,European Energy Crisis — Natural Gas Rationing,2022-07-01,2023-03-01,"Chemicals, Fertilizer, Aluminum, Glass",Europe,"DEU,FRA,ITA,NLD",4,Russian gas cutoffs forced European industry to ration energy. BASF and major chemical plants reduced output. Fertilizer production halved. Aluminum smelters shut across continent.,"IEA, Eurostat","13,17,1222,172",243,2022,Severe
D014,China Xinjiang Cotton / Forced Labor Bans,2022-06-21,2024-12-31,"Apparel, Textiles, Solar Panels",China (Xinjiang),"CHN,USA",3,US Uyghur Forced Labor Prevention Act (UFLPA) blocked all Xinjiang cotton imports. Solar panel polysilicon imports also affected. Massive sourcing restructuring required.,"US CBP, CSIS","17,1221,172",924,2022,Significant
D015,Taiwan Strait Tensions — TSMC Risk,2022-08-02,2022-08-10,"Semiconductors, Electronics",Asia-Pacific (Taiwan Strait),"TWN,CHN,USA",3,Chinese military exercises around Taiwan following Pelosi visit created acute semiconductor supply risk. Markets priced in potential blockade scenarios.,"Reuters, TSMC","13,17,131",8,2022,Significant
D016,US-EU Chip Export Controls on China,2023-10-17,2024-12-31,"Semiconductors, AI Hardware",Global,"USA,NLD,JPN,CHN",3,US expanded chip export controls; Netherlands (ASML) and Japan joined. Blocked sale of advanced AI chips and chipmaking equipment to China. Huawei workarounds emerged.,"BIS, Reuters","17,1221,1211,172",441,2023,Significant
D017,Panama Canal Drought — Water Level Crisis,2023-08-01,2024-02-01,"Shipping, LNG, Grain, Consumer Goods",Central America (Panama),PAN,4,"Severe El Niño drought reduced canal water levels to historic lows. Daily transits cut from 36 to 18. LNG carriers, grain ships diverted to Suez or Cape Horn.","Panama Canal Authority, Bloomberg","17,14",184,2023,Severe
D018,Houthi Red Sea Shipping Attacks,2023-12-08,2024-12-31,"Shipping, Oil, Retail, Automotive","Middle East (Red Sea, Bab el-Mandeb)",YEM,5,"Houthi missiles and drones targeted commercial ships in Red Sea, citing Gaza conflict. Major carriers (Maersk, MSC, CMA CGM) rerouted around Cape of Good Hope, adding 10-14 days and $1M+ per voyage.","Lloyd's, Drewry","13,20,17,131",389,2023,Catastrophic
D019,UAW Auto Strike — Detroit Three,2023-09-15,2023-10-30,Automotive,North America (USA),USA,3,"United Auto Workers struck Ford, GM, and Stellantis simultaneously for the first time. ~50,000 workers walked out. Supplier layoffs cascaded. ~$9.3B estimated economic loss.","UAW, Anderson Economic Group","14,140,141",45,2023,Significant
D020,Key Bridge Baltimore Port Collapse,2024-03-26,2024-07-01,"Automotive, Coal, Sugar, Agriculture","North America (Baltimore, USA)",USA,3,"MV Dali cargo ship struck the Francis Scott Key Bridge, causing its collapse and closing Port of Baltimore. US's top auto import port shut for months. Coal and sugar exports also disrupted.","USACE, Port of Baltimore","20,17,14",97,2024,Significant
D021,Taiwan Earthquake — TSMC Production Impact,2024-04-03,2024-04-15,Semiconductors,Asia-Pacific (Taiwan),TWN,2,7.4 magnitude earthquake struck Hualien. TSMC evacuated fabs temporarily. Wafer damage estimated at hundreds of millions. Short disruption but markets reacted sharply.,"TSMC, CNA",20,12,2024,Moderate
D022,US-China EV Tariff Escalation,2024-05-14,2024-12-31,"Electric Vehicles, Batteries, Solar",Global (US–China),"USA,CHN,EU",3,"Biden administration raised EV tariffs on China from 25% to 100%. Battery tariffs to 25%, solar cells to 50%. EU launched parallel investigations. Triggered major supply chain restructuring in EV sector.","USTR, Reuters","17,1211,1221",231,2024,Significant
D023,German Auto Industry Crisis — VW Plant Closures,2024-09-02,2024-12-31,Automotive,Europe (Germany),DEU,3,"Volkswagen announced potential closure of 3 German factories for first time in 87-year history. IG Metall strikes followed. EV transition, Chinese competition, and energy costs cited.","VW AG, Der Spiegel","14,141,17",120,2024,Significant
D024,India Pharmaceutical Export Restrictions,2024-01-15,2024-06-01,"Pharmaceuticals, Healthcare",South Asia (India),IND,2,"India imposed export controls on certain drug formulations and APIs (active pharmaceutical ingredients) following domestic shortage concerns. Affected paracetamol, antibiotics supply to Africa and SE Asia.","DGFT India, Reuters","17,172,1221",138,2024,Moderate
D025,Lithium Price Crash — Battery Supply Chain Restructure,2024-01-01,2024-12-31,"Battery, EV, Mining","Global (Australia, Chile, China)","AUS,CHL,CHN",2,Lithium carbonate prices fell 80%+ from 2022 peaks. Australian spodumene miners shut operations. Chilean producers curtailed. Paradoxically disrupted battery supply chains that had built inventory assumptions around high prices.,"Fastmarkets, Mining.com","14,17",365,2024,Moderate
